"ID"	"Color"	"Binding_En"	"Folding_En"	"CAI"	"GFP"
"GFP-hi.Avoid_1"	"firebrick4"	-187.76	-6.3	0.733142	44438
"GFP-hi.Avoid_2"	"firebrick4"	-193.44	-4.8	0.734784	39420
"GFP-hi.Codon_1"	"darkorange4"	-239.33	-4.3	0.816208	39144
"GFP-hi.Codon_2"	"darkorange4"	-210.07	-4.6	0.803954	25716
"GFP-low.Fold_1"	"dodgerblue3"	-239.33	-0.2	0.711566	32429
"GFP-low.Fold_2"	"dodgerblue3"	-258.69	-0.3	0.745629	40962
"GFP-low.Avoid_1"	"firebrick3"	-314.71	-5.9	0.693751	18852
"GFP-low.Avoid_2"	"firebrick3"	-292.48	-4.9	0.753171	30270
"GFP-low.Codon_1"	"darkorange3"	-223.19	-4.2	0.626131	39516
"GFP-low.Codon_2"	"darkorange3"	-254.55	-5.4	0.630806	30930
"GFP-hi.Fold_1"	"dodgerblue4"	-267.17	-14.5	0.738237	38169
"GFP-hi.Fold_2"	"dodgerblue4"	-239.27	-14.4	0.714883	21476
"GFP-Optimal"	"black"	-178.66	-1.3	0.765974	44174
"GFP-hi.Avoid_1"	"firebrick4"	-187.76	-6.3	0.733142	44090
"GFP-hi.Avoid_2"	"firebrick4"	-193.44	-4.8	0.734784	40135
"GFP-hi.Codon_1"	"darkorange4"	-239.33	-4.3	0.816208	38171
"GFP-hi.Codon_2"	"darkorange4"	-210.07	-4.6	0.803954	25170
"GFP-low.Fold_1"	"dodgerblue3"	-239.33	-0.2	0.711566	30847
"GFP-low.Fold_2"	"dodgerblue3"	-258.69	-0.3	0.745629	42302
"GFP-low.Avoid_1"	"firebrick3"	-314.71	-5.9	0.693751	18885
"GFP-low.Avoid_2"	"firebrick3"	-292.48	-4.9	0.753171	30915
"GFP-low.Codon_1"	"darkorange3"	-223.19	-4.2	0.626131	38063
"GFP-low.Codon_2"	"darkorange3"	-254.55	-5.4	0.630806	31118
"GFP-hi.Fold_1"	"dodgerblue4"	-267.17	-14.5	0.738237	38053
"GFP-hi.Fold_2"	"dodgerblue4"	-239.27	-14.4	0.714883	21587
"GFP-Optimal"	"black"	-178.66	-1.3	0.765974	46020
"GFP-hi.Avoid_1"	"firebrick4"	-187.76	-6.3	0.733142	42182
"GFP-hi.Avoid_2"	"firebrick4"	-193.44	-4.8	0.734784	40319
"GFP-hi.Codon_1"	"darkorange4"	-239.33	-4.3	0.816208	37923
"GFP-hi.Codon_2"	"darkorange4"	-210.07	-4.6	0.803954	25496
"GFP-low.Fold_1"	"dodgerblue3"	-239.33	-0.2	0.711566	31105
"GFP-low.Fold_2"	"dodgerblue3"	-258.69	-0.3	0.745629	41074
"GFP-low.Avoid_1"	"firebrick3"	-314.71	-5.9	0.693751	19735
"GFP-low.Avoid_2"	"firebrick3"	-292.48	-4.9	0.753171	31513
"GFP-low.Codon_1"	"darkorange3"	-223.19	-4.2	0.626131	38538
"GFP-low.Codon_2"	"darkorange3"	-254.55	-5.4	0.630806	30680
"GFP-hi.Fold_1"	"dodgerblue4"	-267.17	-14.5	0.738237	37347
"GFP-hi.Fold_2"	"dodgerblue4"	-239.27	-14.4	0.714883	20956
"GFP-Optimal"	"black"	-178.66	-1.3	0.765974	45494
"GFP-hi.Avoid_1"	"firebrick4"	-187.76	-6.3	0.733142	41363
"GFP-hi.Avoid_2"	"firebrick4"	-193.44	-4.8	0.734784	41757
"GFP-hi.Codon_1"	"darkorange4"	-239.33	-4.3	0.816208	36455
"GFP-hi.Codon_2"	"darkorange4"	-210.07	-4.6	0.803954	39724
"GFP-low.Fold_1"	"dodgerblue3"	-239.33	-0.2	0.711566	30645
"GFP-low.Fold_2"	"dodgerblue3"	-258.69	-0.3	0.745629	41818
"GFP-low.Avoid_1"	"firebrick3"	-314.71	-5.9	0.693751	18651
"GFP-low.Avoid_2"	"firebrick3"	-292.48	-4.9	0.753171	30984
"GFP-low.Codon_1"	"darkorange3"	-223.19	-4.2	0.626131	38240
"GFP-low.Codon_2"	"darkorange3"	-254.55	-5.4	0.630806	31461
"GFP-hi.Fold_1"	"dodgerblue4"	-267.17	-14.5	0.738237	37725
"GFP-hi.Fold_2"	"dodgerblue4"	-239.27	-14.4	0.714883	20989
"GFP-Optimal"	"black"	-178.66	-1.3	0.765974	45597
